Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
0,250693375;0,036735115;0,102107642;0,156221363;0,370008952;0,288604814;0,231525815;-0,075557679;0,016175903;-0,028578967;0,181708456;0,107513047;0,497012246;0,037649822;0,461101067;0,295222863;0,162574895
0,239058055;0,02775953;0,09081838;0,165842924;0,331803537;0,254214988;0,219444108;-0,089452132;0,084546298;-0,112729725;0,204257958;0,125736946;0,426776059;-0,004314142;0,412206581;0,244427796;0,106042092
0,279202463;-0,002600827;0,068441657;0,151834176;0,397492748;0,275616082;0,305002708;-0,048769087;0,110848251;-0,049537029;0,190762976;0,1356948;0,465497426;-0,006120233;0,468239608;0,236673947;0,128048199
0,228547271;-0,077781259;-0,017822128;0,131276251;0,375298114;0,270697157;0,253195771;-0,040684115;0,108093717;-0,122384889;0,143939721;0,169099417;0,442666487;-0,041391078;0,394784113;0,188768828;0,077725999
0,231723827;-0,077110791;-0,055766349;0,06663664;0,337182377;0,221062152;0,246062199;0,296187964;0,021859141;NaN;0,133696375;0,041559808;0,255451029;-0,03485698;0,279211891;0,233461194;0,041139488
0,267010515;-0,017650725;0,021744554;0,018493685;0,4029483;0,246373126;0,340955499;0,404829198;0,069244232;NaN;0,257285732;0,059766333;0,331116883;0,00584742;0,344795542;0,306615358;0,112013399
0,255788017;0,035311184;0,007171946;0,028928865;0,400996978;0,185238361;0,314832775;0,49362797;0,027322679;NaN;0,273739705;0,149505645;0,213576999;-0,065736156;0,303016073;0,232479652;0,073658606
0,300967003;-0,02075979;0,027309506;-0,032505025;0,513954495;0,220229503;0,392865048;0,466634507;0,085614283;NaN;0,408385424;0,135295265;0,286559009;-0,041155619;0,336794276;0,256428315;0,126439998
0,273922984;0,07793349;0,169629863;-0,035674363;0,354761915;0,224687573;0,340304786;0,007113796;0,038874665;NaN;0,356457901;0,049283609;0,072179323;0,05896661;0,229157996;0,245489657;0,156465895
0,250870535;0,04317599;0,18862793;NaN;0,370996079;0,17903225;0,334084875;0,068437458;0,076252388;NaN;0,362867016;0,025861544;0,021103788;0,076126867;0,238670075;0,264493763;0,174725247
0,291699898;0,217297456;0,282408722;NaN;0,451828108;0,269916397;0,411422942;0,145390418;0,136010712;NaN;0,370594016;0,047588202;0,068503855;0,142015531;0,312888436;0,305313537;0,252460367
0,341729627;0,298804366;0,365448499;NaN;0,395373314;0,349036859;0,409942804;0,25002766;0,337035374;NaN;0,37282984;0,14949937;0,154317687;0,218888273;0,353983048;0,302448469;0,297820596
0,244495344;0,262574995;0,287254789;NaN;0,351776076;0,279672096;0,365546066;0,273881583;0,099729691;NaN;0,25944485;0,113790069;0,03023539;0,085563785;0,274054849;0,264328474;0,226856148
0,206876993;NaN;0,357011714;NaN;0,254449474;0,198020384;0,333164134;0,227953055;0,076383917;NaN;0,225699728;0,029894443;-0,088642544;0,048739139;0,270012203;0,210272163;0,195648594
0,124987177;0,235052069;0,232921067;NaN;0,185764677;0,177273947;0,244883224;0,085440944;0,00217792;NaN;0,190388043;-0,016306373;-0,131959939;0,070970757;0,110920272;0,133865136;0,11950989
0,134158241;0,244110858;0,366873598;NaN;0,105814781;0,152843275;0,257475367;0,101218148;0,033602496;NaN;0,152080513;-0,086949358;-0,098028559;0,039224641;0,035832024;0,091264583;0,137985402
0,061547713;0,212543923;0,359808561;NaN;0,02218302;0,075612596;0,175194128;0,009124191;0,071980155;NaN;0,067719171;-0,070579309;-0,117880727;0,068128339;-0,056726103;-0,020443465;0,127842122
0,062802336;0,115584647;0,289602006;NaN;-0,012384401;0,056211925;0,142162388;NaN;0,053986134;NaN;0,008169613;-0,072629994;-0,210388787;0,072748718;-0,084328601;-0,00544976;0,089118941
0,036029639;0,094489922;0,339032054;NaN;0,000939333;0,088286756;0,123073198;NaN;0,10590948;NaN;0,023164477;-0,072689632;-0,203280808;0,064711204;-0,109486108;0,085432469;0,113075841
0,061095616;0,323952049;0,33262564;NaN;0,014728531;0,146859152;0,140349734;0,157906032;0,223397467;NaN;0,029904388;-0,048804702;-0,162506765;0,039603261;-0,043037067;0,165848167;0,120635437
0,02095099;0,236064188;0,14606382;NaN;-0,000650655;0,040663547;0,054562201;NaN;0,162374109;NaN;-0,02173191;-0,133916972;-0,169541527;-0,051280566;-0,080224165;0,11553364;0,049260485
0,076188966;0,491964577;0,238115187;NaN;-0,044705325;0,184447892;0,043096284;0,173497744;0,283118572;NaN;-0,060945834;-0,078908475;-0,133790225;0,024641173;-0,040510026;0,144978416;0,099231871
0,052064693;0,598086051;0,268650382;NaN;-0,047966857;0,21761791;0,029620792;0,092331971;0,405900665;NaN;0,015348016;-0,121912862;-0,056920726;-0,078269367;-0,100954533;0,126152965;0,036286681
-0,120326126;0,453065497;0,145363623;NaN;-0,146969899;-0,043773168;-0,054724769;NaN;0,18174665;NaN;-0,075165648;-0,365205167;-0,110414952;-0,235014944;-0,26779541;9,35E-05;-0,087110328
-0,127715947;0,505154725;0,219070953;NaN;-0,192012737;0,019162611;-0,129699358;0,09180688;0,350006145;NaN;-0,116805488;-0,397330789;0,019929093;-0,200330772;-0,27876338;0,014644389;-0,069441557
-0,096707958;0,46879106;0,034617719;NaN;-0,191177452;0,035206655;-0,150634431;-0,067615741;0,305218813;NaN;-0,174575061;-0,288330078;-0,019419678;-0,13155987;-0,214001478;0,032909595;-0,0541666
-0,063401308;0,357805772;0,101891723;NaN;-0,218290014;0,047241741;-0,157818044;0,188096812;0,350753361;NaN;-0,155266699;-0,249303891;0,068976724;-0,098431434;-0,164346597;0,094727692;0,022879105
-0,098489822;0,226833626;0,016337122;NaN;-0,206550445;0,046561296;-0,165039292;0,208494213;0,242429743;NaN;-0,180169219;-0,228549042;-0,014787501;-0,101073302;-0,170516836;0,03830606;-0,006033558
-0,077546186;0,210006138;-0,04282776;NaN;-0,190355711;0,09721651;-0,118604104;0,221201543;0,256584329;NaN;-0,151067836;-0,232595901;0,007710395;-0,20729162;-0,110298042;0,063747606;-0,017087789
-0,112443144;0,132842384;-0,101992467;NaN;-0,179363043;0,116001656;-0,112902924;0,036241542;0,18945259;NaN;-0,139374866;-0,147972762;0,052445354;-0,220110803;-0,082906952;-0,017766564;-0,045227419
-0,10087553;0,264044996;-0,11482283;NaN;-0,201707553;0,134196307;-0,127253495;-0,014277359;0,249644823;NaN;-0,18016851;-0,158806466;0,0894021;-0,249328503;-0,051107636;-0,111271021;-0,039133436
-0,237438431;0,26550513;-0,120297819;NaN;-0,342230087;0,01591443;-0,279285764;-0,183777014;0,252183791;NaN;-0,280066777;-0,287642744;-0,068523946;-0,232791934;-0,25914876;-0,248407195;-0,139515905
-0,327596197;0,235786925;-0,167410804;NaN;-0,393266874;-0,082677987;-0,259793406;-0,190136221;0,13756385;NaN;-0,313267223;-0,294105681;-0,111521035;-0,287596128;-0,336484904;-0,32921232;-0,166036621
-0,422406813;-0,066663725;-0,289822554;NaN;-0,505803789;-0,245486173;-0,372206531;-0,399052846;-0,030988354;NaN;-0,397835999;-0,397353045;-0,221011809;-0,359474797;-0,451920759;-0,427393128;-0,281642753
-0,307279099;0,067697458;-0,182295916;NaN;-0,442321724;-0,098536176;-0,212217636;-0,251829607;-0,029757295;NaN;-0,312479361;-0,387161692;-0,044519512;-0,206512339;-0,37971999;-0,276781676;-0,166313155
-0,23749019;0,11436657;-0,16742724;NaN;-0,419575599;-0,004610164;-0,153370764;-0,118043099;0,070346348;NaN;-0,295129731;-0,289545928;-0,017612344;-0,098945088;-0,311598465;-0,227317375;-0,138548599
-0,213621782;-0,015205812;-0,216481232;NaN;-0,454373504;-0,108519034;-0,132823608;-0,175968493;-0,04981727;NaN;-0,304950286;-0,230688136;-0,12241784;-0,104195208;-0,34282936;-0,270333682;-0,173421781
-0,127403003;0,035213517;-0,11714395;NaN;-0,333864474;-0,048084194;-0,095788075;-0,061598326;0,068043499;NaN;-0,219857244;-0,163062548;-0,067459831;-0,051327178;-0,234227131;-0,149862457;-0,082293941
-0,103669005;0,024702684;-0,083051291;NaN;-0,192466113;0,029082136;-0,000537042;-0,069352913;0,030215576;NaN;-0,094622675;-0,167820251;-0,102989012;-0,039763117;-0,230011348;-0,159151398;-0,050117485
-0,03963496;0,22294568;-0,07390902;NaN;-0,164024972;0,099189108;0,015101018;-0,000553947;0,221539491;NaN;-0,077788228;-0,108013817;0,062277844;-0,025259084;-0,076926738;-0,101426593;-0,030845713
-0,004797967;0,533153484;0,070608237;NaN;-0,048996137;0,25277545;0,041318102;0,115011399;0,366535116;NaN;0,003153585;-0,04521572;0,194373144;0,099175935;-0,044963237;-0,008153168;0,043985705
0,086826774;0,79073634;0,302187328;NaN;-0,06586621;0,22165487;0,088323723;0,227105897;0,376558925;NaN;0,091224094;-0,033979936;0,306189199;0,256702934;-0,04059124;0,158854058;0,111202636
0,168210121;0,752615509;0,367581304;NaN;-0,003298523;0,259888204;0,115542911;0,407147604;0,386318824;0,293878287;0,140636794;0,09194691;0,46680942;0,5049775;0,058058364;0,324007084;0,163926866
0,238793939;0,707080818;0,331440594;NaN;0,064884584;0,264066279;0,151703045;0,360214368;0,251676758;0,342369516;0,132919693;0,308167393;0,430805268;0,422534975;0,122808118;0,31092835;0,197324705
0,403722801;0,790198476;0,448122558;NaN;0,162707416;0,446251087;0,20320048;0,535433443;0,453580182;0,486209669;0,183123387;0,320679957;0,558558443;0,568645335;0,320077246;0,390903275;0,23487498
0,574279618;0,935766416;0,5597198;NaN;0,384786196;0,475551717;0,363344401;0,729007632;0,481560876;0,514086376;0,41038908;0,460436022;0,60183581;0,580236899;0,494178793;0,35163998;0,350308934
0,503622455;0,413900797;0,255149928;NaN;0,320484111;0,31877523;0,146805637;0,458714105;0,321816202;NaN;0,250893265;0,672840715;0,405213453;0,434170108;0,47794985;0,117674396;0,260424482
0,60382227;0,437739876;0,284172456;NaN;0,478251329;0,506372946;0,197788954;0,577428146;0,378133056;NaN;0,361692513;0,848897109;0,46033078;0,478638986;0,655742607;0,193057996;0,387469924
0,570073642;0,497176285;0,262290847;NaN;0,53391095;0,56748022;0,162308089;0,667122395;0,489509297;NaN;0,419977297;0,838320853;0,530725018;0,545844342;0,635942538;0,18879395;0,386790423
0,410066762;0,551776362;0,284934832;NaN;0,478853377;0,721290879;0,196738836;0,546214903;0,519578458;NaN;0,491036376;0,666541777;0,539273321;0,367261797;0,421339227;0,185570396;0,398308128
0,260982017;0,516525013;0,207940778;NaN;0,248383437;0,619748675;0,018306501;0,501244187;0,547764495;NaN;0,323227218;0,740181142;0,498880412;0,303518509;0,452577096;0,219803252;0,323626905
0,21339696;0,396476645;0,336877528;NaN;0,228995688;0,452829136;0,046730836;0,429743562;0,346056942;NaN;0,339740053;0,739782885;0,418560769;0,347297322;0,332312905;0,251056455;0,338879643
0,194242238;0,226249637;0,273755325;NaN;0,065758434;0,236758506;-0,001962179;0,392358821;0,232035196;NaN;0,238130365;0,71839872;0,321139501;0,370087872;0,207047531;0,190993037;0,274899541
0,122731278;0,256824515;0,19287106;NaN;0,023876269;0,218108745;-0,077411306;0,32136669;0,309169959;NaN;0,205555182;0,604694134;0,339116144;0,249986507;0,105592092;0,096437995;0,19961752
0,140124109;0,201623932;0,175380417;NaN;0,041183427;0,145393723;-0,05926578;0,22495448;0,290576593;NaN;0,283830478;0,477817082;0,324775906;0,160397984;-0,001493845;0,110280643;0,192212332
0,229667962;0,168370603;0,230069389;NaN;0,092309805;0,150577664;0,054290672;0,312043285;0,354575499;NaN;0,367703412;0,433372067;0,355867686;0,247457782;0,080670965;0,214470719;0,260185301
0,263558637;0,202610269;0,228160977;NaN;0,119385239;0,078171987;0,124278289;0,26526853;0,247509265;NaN;0,378302207;0,472314081;0,367027337;0,296408005;0,121100464;0,289681843;0,317813523
0,314607299;0,24474766;0,304251808;NaN;0,1551476;0,17074467;0,211459687;0,392505044;0,37232294;NaN;0,412266947;0,571331329;0,455034625;0,363546093;0,190603994;0,397974124;0,403238238
0,113167786;0,266768955;0,288847433;NaN;0,031608743;0,061040906;0,075045247;0,364601859;0,282720784;NaN;0,251894282;0,434774344;0,305713602;0,255838825;0,064900778;0,328526662;0,278021874
0,081470634;0,297371076;0,344028505;0,212263278;-0,00209762;-0,004426132;-0,038026119;0,347611983;0,261494322;NaN;0,205301136;0,355165499;0,367318919;0,254381741;0,073137127;0,268371036;0,240443792
0,156149542;0,271228475;0,425963968;0,266787479;0,079210954;0,092039509;0,06716463;0,411101476;0,295225124;NaN;0,251773362;0,477651967;0,414692331;0,309370952;0,121411059;0,366466809;0,30435959
0,01742526;0,053921543;0,319601805;0,08889703;-0,153078111;-0,127622348;-0,080817527;0,082461621;-0,002900616;NaN;0,034132946;0,266387855;0,196783433;0,213795831;-0,043825585;0,151957347;0,122082631
0,053827219;0,047673089;0,31139089;0,018259559;-0,164295292;-0,154247712;-0,02306754;0,048726098;-0,045001887;NaN;0,03075371;0,155522545;0,159154035;0,228344642;-0,097096689;0,113399756;0,107806026
0,034389937;0,023363936;0,187150232;-0,055197426;-0,188329106;-0,133370952;-0,100470955;0,01138268;-0,01815395;0,303767555;0,028950664;0,031175706;0,157304129;0,209255037;-0,166880493;0,04940345;0,072782783
0,057090325;-0,049900341;0,198863319;0,036808026;-0,136966765;-0,137859262;-0,092672947;-0,006072464;-0,036287038;0,343047841;0,027535258;0,047090105;0,181663912;0,233919788;-0,165506132;0,107135724;0,075360011
0,04910127;-0,213921551;0,121261784;0,065713969;-0,125349676;-0,141575197;-0,090084455;0,0238364;-0,105044764;0,299144333;-0,016065578;0,068628499;0,131330962;0,278711579;-0,141498383;0,129932729;0,107212714
0,04213311;-0,235873598;0,125901446;0,128335541;-0,153233775;-0,137836612;-0,065789023;0,005856298;-0,14065669;0,15386561;-0,03452011;0,093267848;0,11661007;0,288802814;-0,093603563;0,128522934;0,108609486
0,0279288;-0,272637366;0,115066544;0,081541623;-0,139974086;-0,145980975;-0,072049013;-0,030501382;-0,191509186;0,136163633;-0,021388799;0,069542319;0,141653562;0,257171472;-0,077895301;0,089084983;0,085708839
0,006102946;-0,220112241;0,056396522;0,115484421;-0,124706443;-0,148650505;-0,059770367;-0,039043511;-0,220342941;0,123802298;-0,008211914;0,068726246;0,078855055;0,179722604;-0,066923193;0,062216633;0,031295975
0,00881295;-0,258709395;0,002061899;0,108078276;-0,135502271;-0,156319763;-0,10015346;-0,075672034;-0,285056645;0,084378073;-0,045473592;0,039173482;0,036995396;0,155390654;-0,087695255;0,059088845;0,024826525
-0,020202818;-0,258680337;-0,016181125;0,058305732;-0,17242439;-0,158696137;-0,111376086;-0,122548549;-0,229291949;0,070034835;-0,042560208;-0,006261318;0,049805243;0,129945349;-0,116765223;-0,007122514;-0,014763226
-0,00644125;-0,240595365;0,005203884;0,02690926;-0,140897896;-0,085288699;-0,006772464;-0,092476715;-0,216948571;0,136987803;-0,006531414;0,014292181;0,055008123;0,146839998;-0,124465544;0,032754064;0,006534262
-0,043894393;-0,276797665;-0,043042761;0,005420753;-0,193367594;-0,161693605;-0,055503725;-0,163326419;-0,232646593;0,084202902;-0,010115741;-0,089104268;0,024921037;0,077796657;-0,160290214;-0,047524293;-0,019642618
-0,036656333;-0,315017766;-0,103885642;-0,040623804;-0,193364006;-0,171121858;-0,00351718;-0,166947342;-0,235909633;0,001778786;-0,014054685;-0,124092211;0,020550909;0,018892666;-0,150346911;-0,065626416;-0,042830482
-0,02784564;-0,309264976;-0,081845435;0,01902566;-0,184842173;-0,202977109;-0,025886371;-0,169063329;-0,275952797;-0,08067438;-0,0492426;-0,075941559;0,05766619;0,049613338;-0,156499971;-0,053246834;-0,029129106
0,007852606;-0,308668598;-0,041840312;0,087991373;-0,119783631;-0,166471557;0,032507644;-0,115659356;-0,243352343;-0,043103193;-0,07744618;0,036286764;0,105430138;0,072473728;-0,104022933;0,000273347;0,011770865
0,083874908;-0,204502954;0,005478117;0,137584683;-0,012960613;-0,059998948;0,17298066;-0,051896975;-0,176233578;0,017046352;0,091664521;0,097395689;0,17376675;0,047925333;0,047925499;0,089911496;0,075462409
0,128051536;-0,15963914;0,013406323;0,25880859;0,080605265;-0,044500456;0,260555572;0,018048056;-0,109606782;0,06991296;0,129418928;0,072303804;0,26002491;0,039996631;0,153821073;0,103095903;0,088063644
0,080678282;-0,098769117;-0,07642275;0,126055023;-0,006380445;-0,067449846;0,196809553;-0,041133434;-0,158574289;0,036055178;0,058915549;-0,003900383;0,228893666;-0,003364398;-0,007985043;0,01219514;0,031917362
0,077313188;-0,031396841;-0,030792389;0,187400773;0,122211593;0,010429186;0,306629961;0,120749904;0,007121424;0,179815035;0,175581441;0,068139589;0,461870462;0,013250618;0,096855285;0,074903951;0,10921289
0,102273841;-0,001700941;0,096562636;0,210210191;0,124531085;0,079738999;0,251650625;0,251734679;0,033394314;0,249874303;0,224252058;0,103757308;0,584147377;0,049478367;0,04087845;0,168369051;0,194053006
0,085342707;0,106137758;0,149360892;0,136568578;0,090979965;0,088038779;0,230304191;0,235916303;0,136291903;0,16889494;0,191552117;0,069521623;0,546819453;0,025369243;0,019098802;0,152601051;0,194440142
0,048356418;0,05399457;0,080589293;0,092222655;0,093538733;0,034771051;0,145413395;0,092631908;0,018635623;0,129465069;0,127839813;0,015403483;0,36893748;-0,011513003;-0,069406367;0,09749541;0,101099032
0,019905348;0,027611494;0,101956463;0,051298186;0,138019574;0,015666624;0,13122477;0,021936915;0,034984795;0,143792566;0,119865858;0,006598561;0,430220512;-0,024138734;-0,107911042;0,05838269;0,11892211
0,064702175;0,054003215;0,120288264;0,044695404;0,155091589;0,006418843;0,173171876;0,056563488;-0,026866018;0,189042194;0,168075079;0,011959132;0,463368645;-0,032853951;-0,095565137;0,074627603;0,086459219
0,144906834;0,235433076;0,239787089;0,300181455;0,299097454;0,14609576;0,217465868;0,22405879;0,172755416;0,294240303;0,266853259;0,138843818;0,5993911;0,083531145;0,03756016;0,22117356;0,224608826
0,081883755;0,290077606;0,264447577;0,248613026;0,284674336;0,199523114;0,19351141;0,235838757;0,20339614;0,231931649;0,278638552;0,077011593;0,324751134;0,068167036;0,004884297;0,182893175;0,200696249
0,077831577;0,448726835;0,342868219;NaN;0,323835565;0,257087803;0,210554106;0,259346351;0,239439731;0,285394683;0,391989004;0,078275502;0,323748793;0,06391457;0,052070363;0,210390354;0,196304348
0,002454276;0,322587834;0,313069119;0,181525196;0,12954556;0,08241842;0,106847619;0,178450055;0,093119202;0,144122787;0,224054555;0,018960171;0,161956548;0,027743665;-0,050550072;0,102609529;0,099990014
-0,045676379;0,330305831;0,288396889;0,167225737;0,040972285;0,055551154;0,019090631;0,125332334;0,038634634;0,103889159;0,184605279;0,035406068;0,05143906;0,039433586;-0,052570798;0,10610009;0,070799201
-0,014481453;0,542821472;0,452475701;0,250668507;0,087764666;0,143173891;0,044350084;0,183936751;0,114453309;0,151229927;0,191737418;0,092701189;0,076862685;0,082503382;0,004717961;0,243967479;0,10081225
-0,034935089;0,440087365;0,424319112;0,28565213;-0,008013943;0,12756464;-0,025005461;0,098624621;0,062059135;0,106595914;0,079858814;0,06857319;0,028866445;0,084237782;-0,048363888;0,253753743;0,062580276
0,019328819;0,497392906;0,452334298;0,41707012;0,025630814;0,14175166;0,059347164;0,157128215;0,203396764;0,160236995;0,099083857;0,107496417;0,080451315;0,118820629;0,004142537;0,259676905;0,073216367
0,020264698;0,563636786;0,461371598;0,442032998;0,018456795;0,185790955;0,068118223;0,209445177;0,225680553;0,194915095;0,124967883;0,11672378;0,114759994;0,10443095;0,015174971;0,281580062;0,049972273
0,020892293;0,526175223;0,601567758;0,465942471;0,049097267;0,197172965;0,137970812;0,264433104;0,185683481;0,227391329;0,145687116;0,10120152;0,19995575;0,13342387;0,04393223;0,359254123;0,06644153
0,092946251;0,672207508;0,633672435;0,602696454;0,020552873;0,281165081;0,1737867;0,424234713;0,192872581;0,2701318;0,180020526;0,086574598;0,248210085;0,214395711;0,041817223;0,392946436;0,069906572
0,104962175;0,928472587;0,61753286;NaN;0,063405445;0,378894134;0,140964439;0,412754694;0,383512792;0,340628878;0,131826319;0,099202435;0,312768183;0,247644992;0,084902842;0,373132456;0,091488805
0,13012502;0,977426276;0,818597025;NaN;0,086437094;0,361534165;0,108330305;0,474592237;0,668755525;0,327357576;0,21617273;0,154951709;0,520806313;0,233899313;0,03545806;0,361750089;0,073719941
0,144103348;1,049228698;1,044534061;NaN;0,077650446;0,379484396;0,114636042;0,552164671;0,767675512;0,446676462;0,209852003;0,134428345;0,576579545;0,248453236;0,065522924;0,384010139;0,12211038
-0,037689309;0,465714979;0,541404899;NaN;-0,027273347;0,085660811;0,037082785;0,232028573;0,08412156;0,121429114;-0,003896722;-0,029583517;0,321409676;0,053075564;-0,057377324;0,113568057;-0,005513742
0,071293332;0,494916583;0,569841043;NaN;-0,040789384;0,18256816;0,083577488;0,280255653;0,160501084;0,145193887;0,002435747;-0,073875329;0,307804771;0,17126584;-0,036285337;0,140958095;0,062470962
0,177609975;0,558438363;0,674360543;NaN;0,024094104;0,304179429;0,203579958;0,37170406;0,348548362;0,184482868;0,059113075;-0,032618447;0,376268868;0,206201197;0,100341803;0,218408629;0,129582771
0,142113841;0,691399985;0,630702315;NaN;0,034339593;0,255882209;0,175277875;0,397576589;0,311705855;0,186435477;0,060102716;-0,042818588;0,319602301;0,205045289;0,087754056;0,2305157;0,105474992
0,182622419;0,875894779;0,644827969;0,439649693;0,134266114;0,308771707;0,263650929;0,541980111;0,370640069;0,630613105;0,231790925;0,062712696;0,40698319;0,194141445;0,259749223;0,224906012;0,162807952
0,085922777;0,810186183;0,577799931;0,26132887;0,119978732;0,253686359;0,143392296;0,448617842;0,252703714;0,469081511;0,176138915;0,027919538;0,300120442;0,157420179;0,127005867;0,263749677;0,151926374
0,094880688;0,900099185;0,610620113;0,27341961;0,174492998;0,24655607;0,177518997;0,477874504;0,272440208;0,514920097;0,262208812;0,032603436;0,384823385;0,184785986;0,203236502;0,298334184;0,191914128
0,195594762;1,204242828;0,766555587;0,402685583;0,29543732;0,338741285;0,209611767;0,778425431;0,406132117;0,688884283;0,397071598;0,080861404;0,518612709;0,311381024;0,278401192;0,457495007;0,275295245
0,107724677;1,08997555;1,040712074;NaN;0,414377637;0,368290981;0,197666258;0,797925923;0,507339367;0,891544374;0,479736248;0,155200688;0,661387836;0,403549782;0,350267109;0,517391781;0,371530916
0,113418272;0,653047146;0,77462613;NaN;0,327230598;0,270734307;0,229969242;0,655496146;0,323455534;0,678614197;0,412566818;0,157459342;0,574162072;0,278540138;0,352900814;0,4517851;0,332798081
0,119543518;0,305743371;0,373334348;NaN;0,254577598;0,234800668;0,244064572;0,345454512;0,150811739;0,333704323;0,150087634;-0,033006844;0,284560496;0,174889166;0,261751952;0,318873286;0,247811812
0,258153117;0,231600839;0,228291179;NaN;0,482588741;0,333020735;0,334027718;0,421944762;0,214592038;0,301921699;0,224563601;0,110845091;0,318176186;0,184147031;0,353261143;0,371670278;0,300171903
0,412468182;0,690472581;0,453533443;0,533291315;0,542832787;0,512809675;0,41293745;0,682208741;0,721898018;0,616709693;0,443974946;0,283411773;0,673478759;0,317423266;0,703510521;0,53966011;0,46480597
0,304563667;0,532389861;0,221853603;0,401292178;0,467606188;0,411221248;0,373955538;0,531241963;0,633465863;0,42086636;0,464561456;0,364077678;0,699961778;0,156601738;0,760804044;0,453995873;0,436040577
0,244896356;0,458584382;0,12974676;0,369524725;0,423287748;0,293331418;0,298305482;0,407164882;0,492391563;0,31671165;0,459182247;0,348125092;0,599961228;0,121088486;0,677072663;0,381036673;0,41724378
0,253723545;0,470458924;0,115027272;0,256245257;0,320344115;0,315351399;0,254363285;0,295619925;0,380787976;0,192329519;0,287765714;0,268439667;0,483232796;0,095404339;0,503494603;0,308988118;0,362301214
0,129785641;0,444572716;0,198237759;0,089094261;0,164046717;0,15366712;0,126373235;0,15097015;0,165502137;0,098144677;0,099735339;0,092126185;0,243423963;0,14794819;0,291500266;0,243894603;0,23857552
0,099808037;0,065052127;0,074675891;0,07612473;0,071004334;0,040623597;0,082531842;0,108387467;0,08974717;0,084911167;0,031936564;-0,028330287;0,141642631;0,132443816;0,200511666;0,162198187;0,14334647
0,121880177;-0,191945295;-0,131649617;0,088623862;0,023282632;-0,058436922;0,066298674;-0,029104329;-0,045569865;-0,063927401;-0,06119813;-0,086739113;0,047703783;0,070231419;0,197273482;0,126457125;0,141785895
0,261281309;-0,144150693;-0,09759377;0,04633494;0,004375226;0,002824526;0,165448331;-0,008155183;-0,021338603;-0,048708363;-0,047070608;-0,111308751;0,120374158;0,109984627;0,334704045;0,230295977;0,233407302
0,289907814;-0,149675571;-0,206155067;NaN;-0,011439007;-0,032058048;0,150431188;-0,033692552;0,004397063;-0,200204643;-0,118718174;-0,091007097;-0,006501003;0,12465257;0,297528389;0,238885814;0,203848491
0,211594318;-0,136900071;-0,165870581;0,021474512;-0,009391131;-0,050383053;0,080015774;-0,094197703;-0,000352514;-0,188945886;-0,10292857;-0,056531909;-0,000597447;0,088066663;0,226913577;0,102606573;0,169394343
0,169487505;-0,216557547;-0,156565087;NaN;0,064682257;-0,1224036;0,125783298;-0,126658741;-0,12205787;-0,159896896;-0,005764893;-0,044012594;-0,001554158;0,122467948;0,282237536;0,128751249;0,167356142
